"product_id_id","catalog_id_id"
"d51b4719-0c5c-49f4-a553-478bba2a3fbf","0ac51d7a-d7af-421f-9c55-63547a8ea6fd"
"9e9ad5eb-a38d-478b-8c23-897e5766690b","752b3833-c858-4edf-8441-b2a849b0e957"
"82b06900-b051-4ce6-94f3-c4683f6cac9a","752b3833-c858-4edf-8441-b2a849b0e957"
"7fe0aace-d2ae-4fa8-86d0-34879b28fcd7","752b3833-c858-4edf-8441-b2a849b0e957"
"a2d63ae6-7f59-4b23-8ea5-cc30b5ccb8a8","752b3833-c858-4edf-8441-b2a849b0e957"
"dae0d271-5ebb-4216-93b1-78581cc13b12","752b3833-c858-4edf-8441-b2a849b0e957"
"beb8bef3-e115-4a15-9c00-adb8c19edd22","752b3833-c858-4edf-8441-b2a849b0e957"
"b585e70c-d9dd-4e87-97c5-65ca6e5b775b","752b3833-c858-4edf-8441-b2a849b0e957"
"63292db1-c5ff-4050-8cf3-6f2da16f7ad4","752b3833-c858-4edf-8441-b2a849b0e957"
"a768bb05-2c89-4fc3-9b77-9db927488fa8","752b3833-c858-4edf-8441-b2a849b0e957"
"12c4e504-063d-4aa6-9391-7acd8c2a7d20","752b3833-c858-4edf-8441-b2a849b0e957"
"41024bd4-1514-46a1-85b1-b85352b6a92a","752b3833-c858-4edf-8441-b2a849b0e957"
"963d5c4a-ef6d-4bb4-b805-9f45ee81617b","752b3833-c858-4edf-8441-b2a849b0e957"
"e459c305-f29c-4359-ace9-3ec78e66e626","752b3833-c858-4edf-8441-b2a849b0e957"
"e56d02b0-7e63-4154-8d11-e8ae7eb3dff1","752b3833-c858-4edf-8441-b2a849b0e957"
"38c79ad7-fc3c-48f8-b255-3041f9b33c22","752b3833-c858-4edf-8441-b2a849b0e957"
"78e2d79e-e7f7-4764-9aba-a4603f9cf339","752b3833-c858-4edf-8441-b2a849b0e957"
"655bbf73-337e-4a34-8a14-f77402793026","752b3833-c858-4edf-8441-b2a849b0e957"
"968fb9e9-6136-4510-a54e-6217fe7db2e5","752b3833-c858-4edf-8441-b2a849b0e957"
"83865a51-790b-483f-9795-b0157f28efd7","752b3833-c858-4edf-8441-b2a849b0e957"
"9288b54b-1ad5-4ac8-9048-3bfa2f80f7e0","752b3833-c858-4edf-8441-b2a849b0e957"
"f02480a7-d4fb-4a4c-9e43-fdb85ec56c51","752b3833-c858-4edf-8441-b2a849b0e957"
"25b2ae4a-1a63-4913-9943-6bd73845aa98","752b3833-c858-4edf-8441-b2a849b0e957"
"0a63466a-a004-4bc1-b7ec-929e8f8ced05","752b3833-c858-4edf-8441-b2a849b0e957"
